 0.1307524091177205E-02  0.2051529888976757E-05
 0.1309575621066182E-02  0.2054744550434359E-05
 0.1311630365616616E-02  0.2057964235855411E-05
 0.1313688329852472E-02  0.2061188953050071E-05
 0.1315749518805522E-02  0.2064418709839992E-05
 0.1317813937515362E-02  0.2067653514059402E-05
 0.1319881591029421E-02  0.2070893373553370E-05
 0.1321952484402975E-02  0.2074138296180843E-05
 0.1324026622699156E-02  0.2077388289812047E-05
 0.1326104010988968E-02  0.2080643362328480E-05
 0.1328184654351296E-02  0.2083903521624651E-05
 0.1330268557872921E-02  0.2087168775607648E-05
 0.1332355726648528E-02  0.2090439132196049E-05
 0.1334446165780724E-02  0.2093714599319708E-05
 0.1336539880380044E-02  0.2096995184921926E-05
 0.1338636875564966E-02  0.2100280896959010E-05
 0.1340737156461925E-02  0.2103571743397028E-05
 0.1342840728205322E-02  0.2106867732217009E-05
 0.1344947595937539E-02  0.2110168871409307E-05
 0.1347057764808948E-02  0.2113475168979669E-05
 0.1349171239977928E-02  0.2116786632943169E-05
 0.1351288026610871E-02  0.2120103271330059E-05
 0.1353408129882201E-02  0.2123425092180999E-05
 0.1355531554974382E-02  0.2126752103548792E-05
 0.1357658307077931E-02  0.2130084313501203E-05
 0.1359788391391432E-02  0.2133421730114455E-05
 0.1361921813121547E-02  0.2136764361480165E-05
 0.1364058577483027E-02  0.2140112215701659E-05
 0.1366198689698729E-02  0.2143465300895060E-05
 0.1368342154999624E-02  0.2146823625187111E-05
 0.1370488978624811E-02  0.2150187196720606E-05
 0.1372639165821531E-02  0.2153556023644842E-05
 0.1374792721845176E-02  0.2156930114128415E-05
 0.1376949651959305E-02  0.2160309476349461E-05
 0.1379109961435654E-02  0.2163694118497610E-05
 0.1381273655554152E-02  0.2167084048776370E-05
 0.1383440739602928E-02  0.2170479275402258E-05
 0.1385611218878330E-02  0.2173879806602851E-05
 0.1387785098684933E-02  0.2177285650619819E-05
 0.1389962384335553E-02  0.2180696815707412E-05
 0.1392143081151260E-02  0.2184113310130936E-05
 0.1394327194461391E-02  0.2187535142170877E-05
 0.1396514729603562E-02  0.2190962320118344E-05
 0.1398705691923681E-02  0.2194394852278111E-05
 0.1400900086775959E-02  0.2197832746967309E-05
 0.1403097919522926E-02  0.2201276012516731E-05
 0.1405299195535443E-02  0.2204724657268878E-05
 0.1407503920192712E-02  0.2208178689579047E-05
 0.1409712098882291E-02  0.2211638117816843E-05
 0.1411923737000107E-02  0.2215102950363368E-05
 0.1414138839950471E-02  0.2218573195611863E-05
 0.1416357413146083E-02  0.2222048861971835E-05
 0.1418579462008055E-02  0.2225529957860161E-05
 0.1420804991965915E-02  0.2229016491713020E-05
 0.1423034008457628E-02  0.2232508471974176E-05
 0.1425266516929602E-02  0.2236005907103877E-05
 0.1427502522836706E-02  0.2239508805572995E-05
 0.1429742031642279E-02  0.2243017175867362E-05
 0.1431985048818146E-02  0.2246531026484089E-05
 0.1434231579844630E-02  0.2250050365934595E-05
 0.1436481630210565E-02  0.2253575202742879E-05
 0.1438735205413308E-02  0.2257105545446381E-05
